cidade,ano,0a1,1a2,2a3,3a4,4a5,5a6,6a7,7a8,8a9,9a10,acima10
GUARUJA,2021,5053.0,4414.0,6444.0,5820.0,4819.0,4398.0,5663.0,7181.0,7584.0,7447.0,94239.0
GUARUJA,2022,4128.0,5327.0,4492.0,6392.0,5829.0,4769.0,4381.0,5564.0,7000.0,7382.0,100544.0
GUARULHOS,2015,12622.0,23646.0,27690.0,28118.0,37040.0,35888.0,29921.0,36703.0,32429.0,25584.0,326778.0
GUARULHOS,2016,9649.0,16854.0,25148.0,28505.0,29104.0,37789.0,36368.0,30503.0,37022.0,32321.0,350767.0
GUARULHOS,2017,11814.0,13744.0,18608.0,25832.0,29251.0,29802.0,38355.0,36745.0,30799.0,36987.0,381785.0
GUARULHOS,2018,14401.0,16300.0,15197.0,19391.0,26460.0,29827.0,30296.0,38803.0,36712.0,31043.0,417745.0
GUARULHOS,2019,16333.0,20047.0,18548.0,15914.0,20265.0,27128.0,30496.0,30858.0,39076.0,36889.0,447570.0
GUARULHOS,2020,11095.0,20959.0,21766.0,19104.0,16381.0,20693.0,27389.0,30756.0,31002.0,39122.0,483083.0
GUARULHOS,2021,14305.0,13681.0,22501.0,22144.0,19629.0,16477.0,21100.0,27734.0,31006.0,31286.0,522167.0
GUARULHOS,2022,13626.0,16154.0,14662.0,23225.0,22639.0,19951.0,16751.0,21476.0,28047.0,31423.0,553126.0
JABOTICABAL,2015,1299.0,2292.0,2882.0,3072.0,3123.0,2536.0,2184.0,2648.0,2602.0,2130.0,27932.0
JABOTICABAL,2016,1215.0,1652.0,2293.0,2829.0,2975.0,3033.0,2487.0,2121.0,2652.0,2580.0,30004.0
JABOTICABAL,2017,1325.0,1477.0,1662.0,2273.0,2760.0,2920.0,3010.0,2506.0,2110.0,2648.0,32579.0
JABOTICABAL,2018,1453.0,1566.0,1496.0,1652.0,2207.0,2718.0,2854.0,3000.0,2480.0,2111.0,35070.0
JABOTICABAL,2019,1685.0,1742.0,1567.0,1442.0,1663.0,2174.0,2674.0,2793.0,3026.0,2467.0,37039.0
JABOTICABAL,2020,1219.0,1987.0,1784.0,1581.0,1441.0,1648.0,2134.0,2643.0,2760.0,3037.0,39607.0
JABOTICABAL,2021,1359.0,1365.0,1978.0,1788.0,1568.0,1428.0,1590.0,2080.0,2557.0,2650.0,42352.0
JABOTICABAL,2022,1260.0,1454.0,1338.0,1988.0,1783.0,1534.0,1397.0,1587.0,2112.0,2544.0,44763.0
JACAREI,2015,2298.0,4392.0,5290.0,5361.0,6776.0,6635.0,5724.0,6922.0,5825.0,4505.0,69473.0
JACAREI,2016,1716.0,3176.0,4654.0,5469.0,5540.0,7002.0,6865.0,5850.0,7017.0,5855.0,73837.0
JACAREI,2017,1916.0,2478.0,3532.0,4822.0,5718.0,5743.0,7189.0,7035.0,6008.0,7100.0,79553.0
JACAREI,2018,2574.0,2704.0,2775.0,3733.0,5119.0,5939.0,5913.0,7302.0,7110.0,6152.0,86469.0
JACAREI,2019,2594.0,3490.0,3121.0,3045.0,3941.0,5286.0,6138.0,6109.0,7435.0,7251.0,92388.0
JACAREI,2020,1845.0,3456.0,3841.0,3380.0,3213.0,4090.0,5455.0,6234.0,6206.0,7595.0,99698.0
JACAREI,2021,2404.0,2365.0,3969.0,4037.0,3542.0,3327.0,4271.0,5644.0,6337.0,6178.0,106905.0
JACAREI,2022,2677.0,2796.0,2473.0,4231.0,4343.0,3662.0,3426.0,4394.0,5818.0,6428.0,112930.0
JAU,2015,2002.0,3620.0,4356.0,4380.0,5769.0,5233.0,4787.0,5550.0,5118.0,4244.0,51178.0
